,Temporada,Episodis,Primera_emissio,Ultima_emissio,Audiencia_mitjana,Posicio
0,,13,17 de diciembre de 1989,13 de mayo de 1990,13.4,30[222]​
1,,22,11 de octubre de 1990,11 de julio de 1991,12.2,38[223]​
2,,24,19 de septiembre de 1991,27 de agosto de 1992,12.0,33[224]​
3,,22,24 de septiembre de 1992,13 de mayo de 1993,12.1[225]​,30
4,,22,30 de septiembre de 1993,19 de mayo de 1994,10.5,53[226]​
5,,25,4 de septiembre de 1994,21 de mayo de 1995,9.0[227]​,67[227]​
6,,25,17 de septiembre de 1995,19 de mayo de 1996,8.0[228]​,75[228]​
7,,25,27 de octubre de 1996,18 de mayo de 1997,8.6[229]​,53[229]​
8,,25,21 de septiembre de 1997,17 de mayo de 1998,9.1[230]​,30
9,,23,23 de agosto de 1998,16 de mayo de 1999,7.9[231]​,46[231]​
10,,22,26 de septiembre de 1999,21 de mayo de 2000,8.2[232]​,44[232]​
11,,21,1 de noviembre de 2000,20 de mayo de 2001,14.7[233]​,21[233]​
12,,22,6 de noviembre de 2001,22 de mayo de 2002,12.4[234]​,30[234]​
13,,22,3 de noviembre de 2002,18 de mayo de 2003,13.4[235]​,25[235]​
14,,22,2 de noviembre de 2003,23 de mayo de 2004,10.6[236]​,42[236]​
15,,21,7 de noviembre de 2004,15 de mayo de 2005,9.6[237]​,52[237]​
16,,22,11 de septiembre de 2005,21 de mayo de 2006,9.1[238]​,62[238]​
17,,22,10 de septiembre de 2006,20 de mayo de 2007,8.6[239]​,60[239]​
18,,20,23 de septiembre de 2007,18 de mayo de 2008,8.0[240]​,87[240]​
19,,21,28 de septiembre de 2008,17 de mayo de 2009,6.9[241]​,77[241]​
20,,23,27 de septiembre de 2009,23 de mayo de 2010,7.2[242]​,61[242]​
21,,22,26 de septiembre de 2010,22 de mayo de 2011,7.3[243]​,65[243]​
22,,22,25 de septiembre de 2011,20 de mayo de 2012,7.0[244]​,69[244]​
23,,22,30 de septiembre de 2012,19 de mayo de 2013,6.3[245]​,70[245]​
24,,22,29 de septiembre de 2013,18 de mayo de 2014,5.6[246]​,81[246]​
25,,22,28 de septiembre de 2014,17 de mayo de 2015,5.6[247]​,100[247]​
26,,22,27 de septiembre de 2015,22 de mayo de 2016,4.7[248]​,102[248]​
27,,22,25 de septiembre de 2016,21 de mayo de 2017,4.8[249]​,92[249]​
28,,21,1 de octubre de 2017,20 de mayo de 2018,4.1[250]​,122[250]​
29,,23,30 de septiembre de 2018,12 de mayo de 2019,3.7[251]​,126[251]​
30,,22,29 de septiembre de 2019,17 de mayo de 2020,3.0[252]​,103[252]​
31,,22,27 de septiembre de 2020,23 de mayo de 2021,2.4[253]​,117[253]​
32,,22,26 de septiembre de 2021,22 de mayo de 2022,2.3[254]​,98[254]​
33,,22,25 de septiembre de 2022,21 de mayo de 2023[255]​,—,—
